identifier,parent,name
stat-boosts,,"Stat boosts"
effort-drop,berries,"Effort drop"
medicine,berries,Medicine
other,berries,Other
in-a-pinch,berries,"In a pinch"
picky-healing,berries,"Picky healing"
type-protection,berries,"Type protection"
baking-only,berries,"Baking only"
collectibles,,Collectibles
evolution,,Evolution
spelunking,,Spelunking
held-items,,"Held items"
choice,held-items,Choice
effort-training,held-items,"Effort training"
bad-held-items,held-items,"Bad held items"
training,held-items,Training
plates,held-items,Plates
species-specific,held-items,Species-specific
type-enhancement,held-items,"Type enhancement"
event-items,,"Event items"
gameplay,,Gameplay
plot-advancement,gameplay,"Plot advancement"
unused,,Unused
loot,,Loot
all-mail,,"All mail"
vitamins,buffs,Vitamins
healing,buffs,Healing
pp-recovery,buffs,"PP recovery"
revival,buffs,Revival
status-cures,buffs,"Status cures"
mulch,,Mulch
special-balls,pokeballs,"Special balls"
standard-balls,pokeballs,"Standard balls"
dex-completion,,"Dex completion"
scarves,,Scarves
all-machines,,"All machines"
flutes,,Flutes
apricorn-balls,pokeballs,"Apricorn balls"
apricorn-box,gameplay,"Apricorn Box"
data-cards,gameplay,"Data Cards"
jewels,,Jewels
miracle-shooter,gameplay,"Miracle Shooter"
mega-stones,,"Mega Stones"
memories,,Memories
z-crystals,,Z-Crystals
berries,,Berries
buffs,,Buffs
pokeballs,,Pokéballs
tm,all-machines,TMs
hm,all-machines,HMs
decorations,,Decorations
desks,decorations,Desks
chairs,decorations,Chairs
plants,decorations,Plants
ornaments,decorations,Ornaments
mats,decorations,Mats
posters,decorations,Posters
dolls,decorations,Dolls
cushions,decorations,Cushions
